_id,productTitle,rating,price,HeadImage,DescriptiveImages[0],DescriptiveImages[1],DescriptiveImages[2],DescriptiveImages[3],DescriptiveImages[4],Brand,productDetails[0],productDetails[1],productDetails[2],productDetails[3],productDetails[4],createdAt,updatedAt,__v,discountPercentage,discountedPrice,Brand[0]
667e69e394729ba72f2806a3,HP Smart Tank All In One 580 Multi-function WiFi Color Ink Tank Printer for Print/Scan/Copy with Up to 12000 Black & 6000 color pages of ink in box,4.5,15299,https://rukminim2.flixcart.com/image/612/612/xif0q/printer/s/8/d/-original-imafkykednshkhx5.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q…c/-original-imagnuwe9vkzpmbz.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…j/-original-imagksykbzzdjxem.jpeg?q=70&crop=false,,,,HP,Output: Color,"Bluetooth, USB, WiFi",Print Speed Mono A4: 12 ppm | Print Speed Color A4: 5 ppm,"Supported OS: Windows, macOS, Linux",,2024-06-28T07:44:35.068Z,2024-06-28T07:44:35.068Z,0,20,12239.2,
667e6ca394729ba72f2806a5,Canon PIXMA E3370 Multi-function WiFi Color Inkjet Printer (Borderless Printing)  (Ink Cartridge,3.9,5899,https://rukminim2.flixcart.com/image/416/416/k4a7c7k0/printer/y/j/z/canon-e3370-original-imafn2wyyxjjvzd6.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2rebuhhe5q5.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2vhfrqjyzgq.jpeg?q=70&crop=false,,,,Canon,Output: Color,WiFi |USB,Print Speed Mono A4: 7.7 ipm | Print Speed Color A4: 4 ipm,"Supported OS: Windows, macOS, Linux",,2024-06-28T07:56:19.259Z,2024-06-28T07:56:19.259Z,0,40,3539.4,
667e6db594729ba72f2806a7,Canon PIXMA E3370 Multi-function WiFi Color Inkjet Printer (Borderless Printing)  (Ink Cartridge,3.9,6000,https://rukminim2.flixcart.com/image/416/416/k4a7c7k0/printer/y/j/z/canon-e3370-original-imafn2wyyxjjvzd6.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2rebuhhe5q5.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2vhfrqjyzgq.jpeg?q=70&crop=false,,,,Canon,Output: Color,WiFi |USB,Print Speed Mono A4: 7.7 ipm | Print Speed Color A4: 4 ipm,"Supported OS: Windows, macOS, Linux",,2024-06-28T08:00:53.924Z,2024-06-28T08:00:53.924Z,0,40,3600,
667e6dba94729ba72f2806a9,Canon PIXMA E3370 Multi-function WiFi Color Inkjet Printer (Borderless Printing)  (Ink Cartridge,3.9,9000,https://rukminim2.flixcart.com/image/416/416/k4a7c7k0/printer/y/j/z/canon-e3370-original-imafn2wyyxjjvzd6.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2rebuhhe5q5.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/k4a7c…70-original-imafn2vhfrqjyzgq.jpeg?q=70&crop=false,,,,Canon,Output: Color,WiFi |USB,Print Speed Mono A4: 7.7 ipm | Print Speed Color A4: 4 ipm,"Supported OS: Windows, macOS, Linux",,2024-06-28T08:00:58.852Z,2024-06-28T08:00:58.852Z,0,40,5400,
667e709894729ba72f2806ab,Canon PIXMA MegaTank/Ink Efficient G3012 Multi-function WiFi Color Ink Tank Printer (Color Page Cost: 0.21 Rs. | Black Page Cost: 0.09 Rs. | Borderless Printing) with 2 additional Black Ink Bottles  (6 Ink Bottles Included),4.4,13499,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/q/m/u/-original-imags2yrktrsf4f9.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…4/-original-imags2yrqkb3cazc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…z/-original-imagrgy5f5m2easc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/128/128/xif0q…2/-original-imags2yrkpzwvfdh.jpeg?q=70&crop=false,,,Canon,Output: Color,WiFi |USB,Cost per Page (Black): 0.09 Rs. | Cost per Page (Color): 0.21 Rs.,Print Speed Mono A4: 8.8 ipm | Print Speed Color A4: 5 ipm,Supported OS: Windows,2024-06-28T08:13:12.854Z,2024-06-28T08:13:12.854Z,0,40,8099.4,
667e70a294729ba72f2806ad,Canon PIXMA MegaTank/Ink Efficient G3012 Multi-function WiFi Color Ink Tank Printer (Color Page Cost: 0.21 Rs. | Black Page Cost: 0.09 Rs. | Borderless Printing) with 2 additional Black Ink Bottles  (6 Ink Bottles Included),3.2,4300,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/q/m/u/-original-imags2yrktrsf4f9.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…4/-original-imags2yrqkb3cazc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…z/-original-imagrgy5f5m2easc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/128/128/xif0q…2/-original-imags2yrkpzwvfdh.jpeg?q=70&crop=false,,,Canon,Output: Color,WiFi |USB,Cost per Page (Black): 0.09 Rs. | Cost per Page (Color): 0.21 Rs.,Print Speed Mono A4: 8.8 ipm | Print Speed Color A4: 5 ipm,Supported OS: Windows,2024-06-28T08:13:22.404Z,2024-06-28T08:13:22.404Z,0,40,2580,
667e70a594729ba72f2806af,Canon PIXMA MegaTank/Ink Efficient G3012 Multi-function WiFi Color Ink Tank Printer (Color Page Cost: 0.21 Rs. | Black Page Cost: 0.09 Rs. | Borderless Printing) with 2 additional Black Ink Bottles  (6 Ink Bottles Included),3.2,3600,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/q/m/u/-original-imags2yrktrsf4f9.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…4/-original-imags2yrqkb3cazc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…z/-original-imagrgy5f5m2easc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/128/128/xif0q…2/-original-imags2yrkpzwvfdh.jpeg?q=70&crop=false,,,Canon,Output: Color,WiFi |USB,Cost per Page (Black): 0.09 Rs. | Cost per Page (Color): 0.21 Rs.,Print Speed Mono A4: 8.8 ipm | Print Speed Color A4: 5 ipm,Supported OS: Windows,2024-06-28T08:13:25.086Z,2024-06-28T08:13:25.086Z,0,40,2160,
667e70a794729ba72f2806b1,Canon PIXMA MegaTank/Ink Efficient G3012 Multi-function WiFi Color Ink Tank Printer (Color Page Cost: 0.21 Rs. | Black Page Cost: 0.09 Rs. | Borderless Printing) with 2 additional Black Ink Bottles  (6 Ink Bottles Included),4.9,1499,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/q/m/u/-original-imags2yrktrsf4f9.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…4/-original-imags2yrqkb3cazc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…z/-original-imagrgy5f5m2easc.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/128/128/xif0q…2/-original-imags2yrkpzwvfdh.jpeg?q=70&crop=false,,,Canon,Output: Color,WiFi |USB,Cost per Page (Black): 0.09 Rs. | Cost per Page (Color): 0.21 Rs.,Print Speed Mono A4: 8.8 ipm | Print Speed Color A4: 5 ipm,Supported OS: Windows,2024-06-28T08:13:27.894Z,2024-06-28T08:13:27.894Z,0,40,899.4,
667e7fb0daebbdac643332b9,Canon PIXMA MegaTank/Ink Efficient G4770 Multi-function WiFi Color Ink Tank Printer with Black (135 ml) & Color (70 ml) ink bottles  (4 Ink Bottles Included),4.2,17799,https://rukminim2.flixcart.com/image/612/612/xif0q/printer/i/8/e/g3770-canon-original-imagnqhbrtrjmvak.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q…2/-original-imags8mbyh7hgzfp.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…o/-original-imags8mbp7ffb7yt.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…a/-original-imags8mbzjw7sssx.jpeg?q=70&crop=false,,,Canon,Output: Color,"USB, WiFi, WiFi Direct | USB",Print Speed Mono A4: 11 ipm | Print Speed Color A4: 6 ipm,"Supported OS : Windows, macOS, Linux",,2024-06-28T09:17:36.694Z,2024-06-28T09:17:36.694Z,0,40,10679.4,
667e81c8daebbdac643332bb,Epson Eco Tank L8050 Single Function WiFi Color Ink Tank Printer  (6 Ink Bottles Included),4.3,21999,https://rukminim2.flixcart.com/image/612/612/xif0q/printer/o/u/n/eco-tank-l8050-epson-original-imagpm65uqcshjvr.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65bghr9vnw.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm656g47qky7.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65f6xd9uzq.jpeg?q=70&crop=false,,,,Output: Color,"USB, WiFi | USB","Supported OS : Windows, macOS, Linux",,,2024-06-28T09:26:32.456Z,2024-06-28T09:26:32.456Z,0,10,19799.1,Epson
667e81dadaebbdac643332bd,Epson Eco Tank L8050 Single Function WiFi Color Ink Tank Printer  (6 Ink Bottles Included),4,219,https://rukminim2.flixcart.com/image/612/612/xif0q/printer/o/u/n/eco-tank-l8050-epson-original-imagpm65uqcshjvr.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65bghr9vnw.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm656g47qky7.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65f6xd9uzq.jpeg?q=70&crop=false,,,,Output: Color,"USB, WiFi | USB","Supported OS : Windows, macOS, Linux",,,2024-06-28T09:26:50.654Z,2024-06-28T09:26:50.654Z,0,10,197.1,Epson
667e81eddaebbdac643332bf,Epson Eco Tank L8050 Single Function WiFi Color Ink Tank Printer  (6 Ink Bottles Included),1,2500,https://rukminim2.flixcart.com/image/612/612/xif0q/printer/o/u/n/eco-tank-l8050-epson-original-imagpm65uqcshjvr.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65bghr9vnw.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm656g47qky7.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q…on-original-imagpm65f6xd9uzq.jpeg?q=70&crop=false,,,,Output: Color,"USB, WiFi | USB","Supported OS : Windows, macOS, Linux",,,2024-06-28T09:27:09.085Z,2024-06-28T09:27:09.085Z,0,10,2250,Epson
6684df385ce244fab18b4bc6,"Epson EcoTank L6570 Multi-function WiFi Color Ink Tank Printer (Color Page Cost: 36 Paise | Black Page Cost: 12 Paise) with Ultra-high Page Yield Up to 13500 pages, Duplex Printing & 4.3 Color LCD Touchscreen  (4 Ink Bottles Included)",4,64999,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/j/7/k/ecotank-l6570-epson-original-imagsghwtnzgcjee.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/7/1/g/ecotank-l6570-epson-original-imagsghwbqxyaxej.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/5/a/b/ecotank-l6570-epson-original-imagsghwgp2veett.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/5/a/b/ecotank-l6570-epson-original-imagsghwgp2veett.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/l/t/z/ecotank-l6570-epson-original-imagsghwmnsbc3ne.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/j/7/k/ecotank-l6570-epson-original-imagsghwtnzgcjee.jpeg?q=70&crop=false,Epson,Output: Color,"USB, WiFi, WiFi Direct",Cost per Page (Black): 12 Paise | Cost per Page (Color): 36 Paise,"Supported OS: Windows, macOS, Linux",,2024-07-03T05:18:49.028Z,2024-07-03T05:18:49.028Z,0,10,58499.1,
668541661ac4670635fd966a,HP Deskjet Ink Advantage 1515 All-in-One Printer  (Ink Cartridge),4.2,4715,https://rukminim2.flixcart.com/image/128/128/xif0q/printer/w/o/u/-original-imagw4gdwgwgf2dn.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/x/x/i/-original-imagw4gdwk6eft5z.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/8/b/n/-original-imagw4gdazthxs3h.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/g/w/f/-original-imagw4gdthbjtfzh.jpeg?q=70&crop=false,,,HP,Output: Color,USB," Duty cycle (monthly, A4): 1000 pages"," Supported OS: Windows, macOS, Linux",,2024-07-03T12:17:42.568Z,2024-07-03T12:17:42.568Z,0,20,3772,
668541851ac4670635fd966c,HP Deskjet Ink Advantage 1515 All-in-One Printer  (Ink Cartridge),3.2,7715,https://rukminim2.flixcart.com/image/128/128/xif0q/printer/w/o/u/-original-imagw4gdwgwgf2dn.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/x/x/i/-original-imagw4gdwk6eft5z.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/8/b/n/-original-imagw4gdazthxs3h.jpeg?q=70&crop=false,https://rukminim2.flixcart.com/image/416/416/xif0q/printer/g/w/f/-original-imagw4gdthbjtfzh.jpeg?q=70&crop=false,,,HP,Output: Color,USB," Duty cycle (monthly, A4): 1000 pages"," Supported OS: Windows, macOS, Linux",,2024-07-03T12:18:13.103Z,2024-07-03T12:18:13.103Z,0,20,6172,
